id,name,care_level_ko,care_level,sido,sigungu,address,phone,homepage,has_homepage,hours_24h,weekday_hours,weekend_hours,departments,place_search_url,daum_map_url
nat_5efb8eec2555,24시 SNC 동물메디컬센터,2차 의료센터,secondary,서울특별시,강남구,서울특별시 강남구 논현로 416 (역삼동),0507-1364-7583,http://www.sncamc.co.kr,Y,yes,00:00–24:00,,내과|외과|영상|응급,https://search.naver.com/search.naver?query=24%EC%8B%9C+SNC+%EB%8F%99%EB%AC%BC%EB%A9%94%EB%94%94%EC%BB%AC%EC%84%BC%ED%84%B0+%EA%B0%95%EB%82%A8%EA%B5%AC,https://map.kakao.com/?q=24%EC%8B%9C+SNC+%EB%8F%99%EB%AC%BC%EB%A9%94%EB%94%94%EC%BB%AC%EC%84%BC%ED%84%B0+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_73d64bde5ac6,24시 TLC동물의료센터,2차 의료센터,secondary,경기도,부천시,경기도 부천시 원미구 길주로 281 (중동),032-323-2475,https://blog.naver.com/tlcamc,Y,yes,00:00–24:00,,내과|외과|영상|응급,https://search.naver.com/search.naver?query=24%EC%8B%9C+TLC%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EB%B6%80%EC%B2%9C%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C+TLC%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_43294a7960ad,24시 UN동물의료센터,2차 의료센터,secondary,부산광역시,남구,부산광역시 남구 수영로 221 (대연동),051-624-2475,https://blog.naver.com/pcr39,Y,yes,00:00–24:00,,내과|외과|영상|응급,https://search.naver.com/search.naver?query=24%EC%8B%9C+UN%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EB%82%A8%EA%B5%AC,https://map.kakao.com/?q=24%EC%8B%9C+UN%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C
nat_7de549db1db7,24시 강서 젠틀리동물의료센터,2차 의료센터,secondary,경상남도,사천시,경상남도 사천시 사남면 사천대로 1589-34,02-2662-8111,https://blog.naver.com/fnrkwll,Y,yes,00:00–24:00,,내과|외과|영상|응급,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EA%B0%95%EC%84%9C+%EC%A0%A0%ED%8B%80%EB%A6%AC%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EC%82%AC%EC%B2%9C%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C+%EA%B0%95%EC%84%9C+%EC%A0%A0%ED%8B%80%EB%A6%AC%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EA%B2%BD%EC%83%81%EB%82%A8%EB%8F%84
nat_d0e9a77c0f86,24시 굿케어동물의료센터,2차 의료센터,secondary,서울특별시,관악구,서울특별시 관악구 남부순환로 1861-2 (봉천동),02-6956-2475,https://blog.naver.com/goodcare24,Y,yes,00:00–24:00,,내과|외과|영상|응급,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EA%B5%BF%EC%BC%80%EC%96%B4%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EA%B4%80%EC%95%85%EA%B5%AC,https://map.kakao.com/?q=24%EC%8B%9C+%EA%B5%BF%EC%BC%80%EC%96%B4%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_4333e03bcec8,24시 글로리 동물병원,1차 진료,primary,서울특별시,금천구,서울특별시 금천구 시흥대로 483 (독산동),0507-1431-8576,https://blog.naver.com/gloryamc,Y,yes,00:00–24:00,,응급|일반진료|내과|외과(일반)|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EA%B8%80%EB%A1%9C%EB%A6%AC+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B8%88%EC%B2%9C%EA%B5%AC,https://map.kakao.com/?q=24%EC%8B%9C+%EA%B8%80%EB%A1%9C%EB%A6%AC+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_b5f665865632,24시 나음동물의료센터,2차 의료센터,secondary,경기도,고양시,경기도 고양시 일산동구 백마로 223 (장항동),0507-1492-7975,https://naum24.modoo.at,Y,yes,00:00–24:00,,내과|외과|영상|응급,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EB%82%98%EC%9D%8C%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EA%B3%A0%EC%96%91%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C+%EB%82%98%EC%9D%8C%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_eb4e7598c232,24시 넬 동물의료센터,2차 의료센터,secondary,경기도,안양시,경기도 안양시 동안구 시민대로 312 (평촌동),0507-1410-2144,http://www.nelamc.com/,Y,yes,00:00–24:00,,내과|외과|영상|응급,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EB%84%AC+%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EC%95%88%EC%96%91%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C+%EB%84%AC+%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_baacccf07bb2,24시 노아동물메디컬센터,2차 의료센터,secondary,광주광역시,동구,광주광역시 동구 독립로 292 (대인동),062-222-0075,http://noahamc.co.kr/,Y,yes,00:00–24:00,,내과|외과|영상|응급,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EB%85%B8%EC%95%84%EB%8F%99%EB%AC%BC%EB%A9%94%EB%94%94%EC%BB%AC%EC%84%BC%ED%84%B0+%EB%8F%99%EA%B5%AC,https://map.kakao.com/?q=24%EC%8B%9C+%EB%85%B8%EC%95%84%EB%8F%99%EB%AC%BC%EB%A9%94%EB%94%94%EC%BB%AC%EC%84%BC%ED%84%B0+%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C
nat_0625799c1469,24시 당신의 동물의료센터,2차 의료센터,secondary,경기도,수원시,경기도 수원시 장안구 천천로 100 (천천동),0507-1366-6575,http://pf.kakao.com/_exkBTK,N,yes,00:00–24:00,,내과|외과|영상|응급,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EB%8B%B9%EC%8B%A0%EC%9D%98+%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EC%88%98%EC%9B%90%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C+%EB%8B%B9%EC%8B%A0%EC%9D%98+%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EA%B2%BD%EA%B8%B0%EB%8F%84
