id,name,care_level_ko,care_level,sido,sigungu,address,phone,homepage,has_homepage,hours_24h,weekday_hours,weekend_hours,departments,place_search_url,daum_map_url
nat_073d4008f244,쿨펫동물병원,일반 동네병원,neighborhood,부산광역시,사상구,부산광역시 사상구 낙동대로 733 (엄궁동),051-314-7582,,N,unknown,,,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C,https://map.kakao.com/?q=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C
nat_4027a4f4d84d,쿨펫 동물병원,일반 동네병원,neighborhood,대구광역시,동구,대구광역시 동구 안심로 80 (율하동),053-607-2754,https://www.instagram.com/yulha_coolpet/,N,no,,,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%BF%A8%ED%8E%AB+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C,https://map.kakao.com/?q=%EC%BF%A8%ED%8E%AB+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C
nat_afb1468dd7d6,쿨펫동물병원,일반 동네병원,neighborhood,경기도,수원시,경기도 수원시 영통구 영통로 120 (망포동),031-206-7503,,N,no,10:00–20:00,토 10:00–17:00 · 일 10:00–17:00,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_8496d18b7473,굿프렌즈동물병원,일반 동네병원,neighborhood,경기도,용인시,경기도 용인시 수지구 용구대로 2794 (죽전동),031-264-7553,,N,no,10:00–19:00,토 10:00–18:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EA%B5%BF%ED%94%84%EB%A0%8C%EC%A6%88%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EA%B5%BF%ED%94%84%EB%A0%8C%EC%A6%88%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_53a3cf037a53,쿨펫동물병원,일반 동네병원,neighborhood,경기도,평택시,경기도 평택시 평택5로34번길 30 (합정동),031-651-5975,,N,no,10:00–19:00,토 10:00–19:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_4605885bf4b9,쿨펫동물병원,일반 동네병원,neighborhood,경기도,군포시,경기도 군포시 산본로 347 (산본동),031-398-0075,,N,unknown,,,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_7b622d2e0fdb,쿨펫동물병원,일반 동네병원,neighborhood,전북특별자치도,정읍시,전북특별자치도 정읍시 벚꽃로 85 (농소동),063-532-7582,https://blog.naver.com/jini_place,Y,unknown,,,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%A0%84%EB%B6%81%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84,https://map.kakao.com/?q=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%A0%84%EB%B6%81%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84
nat_963b89cda124,쿨펫동물병원,일반 동네병원,neighborhood,경상북도,구미시,경상북도 구미시 구미대로22길 11 (신평동),054-461-7582,,N,no,10:00–20:00,토 10:00–17:00 · 일 10:00–17:00,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84,https://map.kakao.com/?q=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84
nat_2c29c1af8dc8,쿨펫동물병원,일반 동네병원,neighborhood,경상남도,통영시,경상남도 통영시 광도면 죽림4로 9,055-646-1318,https://www.instagram.com/coolpet_official/,N,unknown,,,일반진료|예방접종|치과|고양이|심장,https://search.naver.com/search.naver?query=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EA%B2%BD%EC%83%81%EB%82%A8%EB%8F%84,https://map.kakao.com/?q=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EC%83%81%EB%82%A8%EB%8F%84
nat_cf6d3677cbe9,쿨펫동물병원,일반 동네병원,neighborhood,광주,광산구,광주 광산구 장신로50번길 9-8 101호,055-544-8400,,N,unknown,,,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B4%91%EC%A3%BC,https://map.kakao.com/?q=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B4%91%EC%A3%BC
