id,name,care_level_ko,care_level,sido,sigungu,address,phone,homepage,has_homepage,hours_24h,weekday_hours,weekend_hours,departments,place_search_url,daum_map_url
nat_4333e03bcec8,24시 글로리 동물병원,1차 진료,primary,서울특별시,금천구,서울특별시 금천구 시흥대로 483 (독산동),0507-1431-8576,https://blog.naver.com/gloryamc,Y,yes,00:00–24:00,,응급|일반진료|내과|외과(일반)|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EA%B8%80%EB%A1%9C%EB%A6%AC+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B8%88%EC%B2%9C%EA%B5%AC,https://map.kakao.com/?q=24%EC%8B%9C+%EA%B8%80%EB%A1%9C%EB%A6%AC+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_9c5fb7d3c48b,24시 모두의동물병원,1차 진료,primary,경기도,광명시,경기도 광명시 하안로 289 (하안동),02-6951-2475,https://blog.naver.com/moduamc,Y,yes,00:00–24:00,,응급|일반진료|내과|외과(일반)|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EB%AA%A8%EB%91%90%EC%9D%98%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B4%91%EB%AA%85%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C+%EB%AA%A8%EB%91%90%EC%9D%98%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_0477feaca51e,24시 서울YES동물병원,1차 진료,primary,경기도,용인시,경기도 용인시 수지구 현암로 81 (죽전동),031-272-1313,https://www.seoulyes24.com,Y,yes,00:00–24:00,,응급|일반진료|내과|외과(일반)|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EC%84%9C%EC%9A%B8YES%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%9A%A9%EC%9D%B8%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C+%EC%84%9C%EC%9A%B8YES%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_7fe1f8827b2e,24시 수 동물병원,1차 진료,primary,서울특별시,영등포구,서울특별시 영등포구 영등포로 85-1 (양평동1가),02-2676-7582,https://youtube.com/@sooamc,N,yes,00:00–24:00,,응급|일반진료|내과|외과(일반)|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EC%88%98+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC,https://map.kakao.com/?q=24%EC%8B%9C+%EC%88%98+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_f8faa3cc9cd3,24시 숨동물병원,1차 진료,primary,경기도,수원시,경기도 수원시 권선구 권선로 715 (권선동),031-548-2475,http://24soom.co.kr/,Y,yes,00:00–24:00,,응급|일반진료|내과|외과(일반)|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EC%88%A8%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%88%98%EC%9B%90%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C+%EC%88%A8%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_fb3fc1e591f3,24시 폴동물병원,1차 진료,primary,경기도,성남시,경기도 성남시 분당구 성남대로 385 (정자동),0507-1393-7558,https://blog.naver.com/hwrat,Y,yes,00:00–24:00,,응급|일반진료|내과|외과(일반)|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C+%ED%8F%B4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%B1%EB%82%A8%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C+%ED%8F%B4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_509b0827cacc,24시서울플러스종합동물병원,1차 진료,primary,서울특별시,강서구,서울특별시 강서구 등촌로 55 (화곡동),02-2652-7515,,N,no,,,내과|외과|안과|치과|피부과|응급|일반진료|예방접종|피부,https://search.naver.com/search.naver?query=24%EC%8B%9C%EC%84%9C%EC%9A%B8%ED%94%8C%EB%9F%AC%EC%8A%A4%EC%A2%85%ED%95%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C%EC%84%9C%EC%9A%B8%ED%94%8C%EB%9F%AC%EC%8A%A4%EC%A2%85%ED%95%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_3e4f880eecc5,24시스카이동물병원,1차 진료,primary,인천광역시,계양구,인천광역시 계양구 장제로 714 (작전동),0507-1341-7575,https://gy.skyamg.com/,Y,yes,00:00–24:00,,응급|일반진료|내과|외과(일반)|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C%EC%8A%A4%EC%B9%B4%EC%9D%B4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B3%84%EC%96%91%EA%B5%AC,https://map.kakao.com/?q=24%EC%8B%9C%EC%8A%A4%EC%B9%B4%EC%9D%B4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%9D%B8%EC%B2%9C%EA%B4%91%EC%97%AD%EC%8B%9C
nat_949f936a23fc,24시아프리카동물병원,1차 진료,primary,경기도,안산시,경기도 안산시 단원구 원포공원2로 35 (초지동),0507-1359-7534,https://blog.naver.com/africa24_amc,Y,yes,00:00–24:00,,응급|일반진료|내과|외과(일반)|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C%EC%95%84%ED%94%84%EB%A6%AC%EC%B9%B4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%95%88%EC%82%B0%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C%EC%95%84%ED%94%84%EB%A6%AC%EC%B9%B4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_ac10afd94041,24시청담우리동물병원,1차 진료,primary,서울특별시,강남구,서울특별시 강남구 삼성로 614 (삼성동),02-541-7515,https://blog.naver.com/cdwoori,Y,yes,00:00–24:00,,응급|일반진료|내과|외과(일반)|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C%EC%B2%AD%EB%8B%B4%EC%9A%B0%EB%A6%AC%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B0%95%EB%82%A8%EA%B5%AC,https://map.kakao.com/?q=24%EC%8B%9C%EC%B2%AD%EB%8B%B4%EC%9A%B0%EB%A6%AC%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
