id,name,care_level_ko,care_level,sido,sigungu,address,phone,homepage,has_homepage,hours_24h,weekday_hours,weekend_hours,departments,place_search_url,daum_map_url
nat_b2a0eab115c9,나눔양한방동물병원,재활 특화,rehab_specialty,전라남도,곡성군,전라남도 곡성군 오곡면 대황강로 1589,044-868-3793,http://instagram.com/nanumah_sejong,N,unknown,,,재활|한방,https://search.naver.com/search.naver?query=%EB%82%98%EB%88%94%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B3%A1%EC%84%B1%EA%B5%B0,https://map.kakao.com/?q=%EB%82%98%EB%88%94%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84
nat_1e34547104b5,늘사랑양한방동물병원,재활 특화,rehab_specialty,전라남도,여수시,전라남도 여수시 무선로 179 (선원동),061-686-0279,https://blog.naver.com/megavet,Y,no,09:30–19:00,토 09:30–19:00 · 일 09:30–19:00,재활|한방,https://search.naver.com/search.naver?query=%EB%8A%98%EC%82%AC%EB%9E%91%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%97%AC%EC%88%98%EC%8B%9C,https://map.kakao.com/?q=%EB%8A%98%EC%82%AC%EB%9E%91%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84
nat_53f5d1cc0dfe,두암한방동물병원,재활 특화,rehab_specialty,서울특별시,양천구,서울특별시 양천구 목동중앙북로 73 (목동),02-846-4597,http://www.petacu.com/,Y,no,10:00–19:00,토 10:00–19:00 · 일 휴무,재활|한방,https://search.naver.com/search.naver?query=%EB%91%90%EC%95%94%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%96%91%EC%B2%9C%EA%B5%AC,https://map.kakao.com/?q=%EB%91%90%EC%95%94%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_d491723ce4b1,사라양한방동물병원,재활 특화,rehab_specialty,전북특별자치도,전주시,전북특별자치도 전주시 덕진구 벚꽃로 21 (진북동),063-901-7582,https://blog.naver.com/sarah7582,Y,no,10:00–19:00,토 09:00–12:30 · 일 휴무,재활|한방,https://search.naver.com/search.naver?query=%EC%82%AC%EB%9D%BC%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%A0%84%EC%A3%BC%EC%8B%9C,https://map.kakao.com/?q=%EC%82%AC%EB%9D%BC%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%A0%84%EB%B6%81%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84
nat_ecd2d51fcb9d,스마일양한방동물병원,재활 특화,rehab_specialty,경기도,파주시,경기도 파주시 금빛로 44 (금촌동),031-942-3575,http://cafe.naver.com/vet119,Y,no,10:00–17:30,토 09:00–14:00 · 일 휴무,재활|한방,https://search.naver.com/search.naver?query=%EC%8A%A4%EB%A7%88%EC%9D%BC%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%ED%8C%8C%EC%A3%BC%EC%8B%9C,https://map.kakao.com/?q=%EC%8A%A4%EB%A7%88%EC%9D%BC%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_9ad6b2b27179,이윤권양한방동물병원,재활 특화,rehab_specialty,경기도,안양시,"경기도 안양시 만안구 만안로 284 (안양동, 마인빌)",0507-1431-7591,https://blog.naver.com/vet4pet,Y,no,10:00–18:30,토 10:00–18:30 · 일 휴무,재활|한방,https://search.naver.com/search.naver?query=%EC%9D%B4%EC%9C%A4%EA%B6%8C%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%95%88%EC%96%91%EC%8B%9C,https://map.kakao.com/?q=%EC%9D%B4%EC%9C%A4%EA%B6%8C%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_694398a92618,나눔양한방동물병원,재활 특화,rehab_specialty,서울특별시,관악구,서울특별시 관악구 남부순환로 1964 (봉천동),02-888-0976,https://blog.naver.com/doctor_nanum,Y,no,11:00–18:30,토 11:00–16:00 · 일 휴무,재활|한방,https://search.naver.com/search.naver?query=%EB%82%98%EB%88%94%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B4%80%EC%95%85%EA%B5%AC,https://map.kakao.com/?q=%EB%82%98%EB%88%94%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_89e36ef5c49d,정원양한방동물병원,재활 특화,rehab_specialty,경기도,성남시,경기도 성남시 분당구 운중로 233 (판교동),031-707-7599,https://blog.naver.com/allpet,Y,no,10:00–18:00,토 10:00–18:00 · 일 휴무,재활|한방,https://search.naver.com/search.naver?query=%EC%A0%95%EC%9B%90%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%B1%EB%82%A8%EC%8B%9C,https://map.kakao.com/?q=%EC%A0%95%EC%9B%90%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_6143eabc97e3,최재호한방동물병원,재활 특화,rehab_specialty,경기도,성남시,"경기도 성남시 중원구 둔촌대로63번길 11 (성남동, 성남여수엘에이치1단지)",,https://tinyurl.com/yemx72f6,Y,unknown,,,재활|한방|한방동물병원|동물한방병원,https://search.naver.com/search.naver?query=%EC%B5%9C%EC%9E%AC%ED%98%B8%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%B5%9C%EC%9E%AC%ED%98%B8%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_fd39db4fb068,쿨펫양한방동물병원,재활 특화,rehab_specialty,대전광역시,유성구,대전광역시 유성구 한밭대로 502 (봉명동),0507-1431-7592,http://cafe.naver.com/mycoolpet,Y,no,10:00–19:30,토 10:00–19:30 · 일 휴무,재활|한방,https://search.naver.com/search.naver?query=%EC%BF%A8%ED%8E%AB%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%9C%A0%EC%84%B1%EA%B5%AC,https://map.kakao.com/?q=%EC%BF%A8%ED%8E%AB%EC%96%91%ED%95%9C%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EC%A0%84%EA%B4%91%EC%97%AD%EC%8B%9C
