id,name,care_level_ko,care_level,sido,sigungu,address,phone,homepage,has_homepage,hours_24h,weekday_hours,weekend_hours,departments,place_search_url,daum_map_url
nat_93508a359bfd,강원대학교 부속동물병원,대학동물병원,university,강원특별자치도,춘천시,강원특별자치도 춘천시 강원대학길 1 (효자동),033-250-8606,http://vmth.kangwon.ac.kr/,Y,no,09:00–18:00,토 휴무 · 일 휴무,분과진료|영상(CT/MRI)|응급|내과|외과,https://search.naver.com/search.naver?query=%EA%B0%95%EC%9B%90%EB%8C%80%ED%95%99%EA%B5%90+%EB%B6%80%EC%86%8D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%B6%98%EC%B2%9C%EC%8B%9C,https://map.kakao.com/?q=%EA%B0%95%EC%9B%90%EB%8C%80%ED%95%99%EA%B5%90+%EB%B6%80%EC%86%8D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84
nat_272deaecb96f,건국대학교 서울캠퍼스부속동물병원,대학동물병원,university,서울특별시,광진구,서울특별시 광진구 능동로34길 120 (능동),02-450-3664,https://vmth.konkuk.ac.kr,Y,no,09:00–17:30,,분과진료|영상(CT/MRI)|응급|내과|외과|영상의학과|안과|임상병리,https://search.naver.com/search.naver?query=%EA%B1%B4%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90+%EC%84%9C%EC%9A%B8%EC%BA%A0%ED%8D%BC%EC%8A%A4%EB%B6%80%EC%86%8D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B4%91%EC%A7%84%EA%B5%AC,https://map.kakao.com/?q=%EA%B1%B4%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90+%EC%84%9C%EC%9A%B8%EC%BA%A0%ED%8D%BC%EC%8A%A4%EB%B6%80%EC%86%8D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_1cad9d8b65f7,경상국립대학교 동물의료원,대학동물병원,university,경상북도,칠곡군,경상북도 칠곡군 석적읍 도개4길 9-5,055-772-1111,http://gamc.gnu.ac.kr/,Y,no,09:00–18:00,토 휴무 · 일 휴무,분과진료|영상(CT/MRI)|응급|내과|외과,https://search.naver.com/search.naver?query=%EA%B2%BD%EC%83%81%EA%B5%AD%EB%A6%BD%EB%8C%80%ED%95%99%EA%B5%90+%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%9B%90+%EC%B9%A0%EA%B3%A1%EA%B5%B0,https://map.kakao.com/?q=%EA%B2%BD%EC%83%81%EA%B5%AD%EB%A6%BD%EB%8C%80%ED%95%99%EA%B5%90+%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%9B%90+%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84
nat_37e4ab0de71a,서울대학교관악캠퍼스수의대부속동물병원,대학동물병원,university,서울특별시,관악구,서울특별시 관악구 관악로12길 32-14 (봉천동),02-880-8661,https://vmth.snu.ac.kr,Y,no,09:00–18:00,토 휴무 · 일 휴무,분과진료|영상(CT/MRI)|응급|내과|외과|치과|피부과|안과|정형외과|특수동물,https://search.naver.com/search.naver?query=%EC%84%9C%EC%9A%B8%EB%8C%80%ED%95%99%EA%B5%90%EA%B4%80%EC%95%85%EC%BA%A0%ED%8D%BC%EC%8A%A4%EC%88%98%EC%9D%98%EB%8C%80%EB%B6%80%EC%86%8D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B4%80%EC%95%85%EA%B5%AC,https://map.kakao.com/?q=%EC%84%9C%EC%9A%B8%EB%8C%80%ED%95%99%EA%B5%90%EA%B4%80%EC%95%85%EC%BA%A0%ED%8D%BC%EC%8A%A4%EC%88%98%EC%9D%98%EB%8C%80%EB%B6%80%EC%86%8D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_642a348f5f1e,전남대학교 광주캠퍼스동물병원,대학동물병원,university,광주광역시,북구,광주광역시 북구 용봉로 45 (용봉동),062-530-2882,https://cnuvmth.jnu.ac.kr,Y,no,09:30–17:30,,분과진료|영상(CT/MRI)|응급|내과|외과|안과|특수동물,https://search.naver.com/search.naver?query=%EC%A0%84%EB%82%A8%EB%8C%80%ED%95%99%EA%B5%90+%EA%B4%91%EC%A3%BC%EC%BA%A0%ED%8D%BC%EC%8A%A4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%B6%81%EA%B5%AC,https://map.kakao.com/?q=%EC%A0%84%EB%82%A8%EB%8C%80%ED%95%99%EA%B5%90+%EA%B4%91%EC%A3%BC%EC%BA%A0%ED%8D%BC%EC%8A%A4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C
nat_8577a4b415da,전북대학교 전북동물의료센터,대학동물병원,university,충남,천안시,충남 천안시 서북구 봉정로 344,063-850-0970,https://jamc.jbnu.ac.kr,Y,partial,09:00–18:00,토 00:00–24:00 · 일 00:00–24:00,분과진료|영상(CT/MRI)|응급|내과|외과,https://search.naver.com/search.naver?query=%EC%A0%84%EB%B6%81%EB%8C%80%ED%95%99%EA%B5%90+%EC%A0%84%EB%B6%81%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EC%B2%9C%EC%95%88%EC%8B%9C,https://map.kakao.com/?q=%EC%A0%84%EB%B6%81%EB%8C%80%ED%95%99%EA%B5%90+%EC%A0%84%EB%B6%81%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EC%B6%A9%EB%82%A8
nat_a901265e2deb,제주대학교 아라캠퍼스부설동물병원,대학동물병원,university,부산,남구,부산 남구 수영로13번길 6-1 1층,064-754-3381,http://vethospital.jejunu.ac.kr,Y,no,09:00–18:00,토 휴무 · 일 휴무,분과진료|영상(CT/MRI)|응급|내과|외과,https://search.naver.com/search.naver?query=%EC%A0%9C%EC%A3%BC%EB%8C%80%ED%95%99%EA%B5%90+%EC%95%84%EB%9D%BC%EC%BA%A0%ED%8D%BC%EC%8A%A4%EB%B6%80%EC%84%A4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%82%A8%EA%B5%AC,https://map.kakao.com/?q=%EC%A0%9C%EC%A3%BC%EB%8C%80%ED%95%99%EA%B5%90+%EC%95%84%EB%9D%BC%EC%BA%A0%ED%8D%BC%EC%8A%A4%EB%B6%80%EC%84%A4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%B6%80%EC%82%B0
nat_de27beef45bb,충남대학교 동물병원,대학동물병원,university,대전광역시,유성구,대전광역시 유성구 대학로76번길 99 (궁동),042-821-6704,https://cnuah.cnu.ac.kr,Y,no,10:00–18:00,토 휴무 · 일 휴무,분과진료|영상(CT/MRI)|응급|내과|외과,https://search.naver.com/search.naver?query=%EC%B6%A9%EB%82%A8%EB%8C%80%ED%95%99%EA%B5%90+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%9C%A0%EC%84%B1%EA%B5%AC,https://map.kakao.com/?q=%EC%B6%A9%EB%82%A8%EB%8C%80%ED%95%99%EA%B5%90+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EC%A0%84%EA%B4%91%EC%97%AD%EC%8B%9C
nat_b19206afb0e6,충북대학교 동물병원,대학동물병원,university,강원,양양군,강원 양양군 양양읍 양양로 51,043-261-2602,http://www.cbuanimal.co.kr/,Y,no,09:00–18:00,토 09:00–13:00 · 일 휴무,분과진료|영상(CT/MRI)|응급|내과|외과,https://search.naver.com/search.naver?query=%EC%B6%A9%EB%B6%81%EB%8C%80%ED%95%99%EA%B5%90+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%96%91%EC%96%91%EA%B5%B0,https://map.kakao.com/?q=%EC%B6%A9%EB%B6%81%EB%8C%80%ED%95%99%EA%B5%90+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B0%95%EC%9B%90
nat_6f628972b8c8,경북대학교 수의과대학 부속동물병원,대학동물병원,university,대구광역시,북구,"대구광역시 북구 대학로9길 80 (산격동, 로즈가든아파트)",0507-1309-6898,https://blog.naver.com/knuvmth,Y,unknown,,,분과진료|영상(CT/MRI)|응급|내과|외과,https://search.naver.com/search.naver?query=%EA%B2%BD%EB%B6%81%EB%8C%80%ED%95%99%EA%B5%90+%EC%88%98%EC%9D%98%EA%B3%BC%EB%8C%80%ED%95%99+%EB%B6%80%EC%86%8D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%B6%81%EA%B5%AC,https://map.kakao.com/?q=%EA%B2%BD%EB%B6%81%EB%8C%80%ED%95%99%EA%B5%90+%EC%88%98%EC%9D%98%EA%B3%BC%EB%8C%80%ED%95%99+%EB%B6%80%EC%86%8D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C
nat_5b0ebb702b73,건국대학교 수의과대학,대학동물병원,university,서울특별시,광진구,서울특별시 광진구 능동로34길 120 (능동),02-450-3664,https://vmth.konkuk.ac.kr,Y,unknown,,,분과진료|영상(CT/MRI)|응급|내과|외과,https://search.naver.com/search.naver?query=%EA%B1%B4%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90%20%EC%88%98%EC%9D%98%EA%B3%BC%EB%8C%80%ED%95%99%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=%EA%B1%B4%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90+%EC%88%98%EC%9D%98%EA%B3%BC%EB%8C%80%ED%95%99+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_d43c4fc689bf,건국대학교 부속동물병원,대학동물병원,university,서울특별시,광진구,서울특별시 광진구 능동로 120-1 (화양동),02-450-3664,http://vmth.konkuk.ac.kr/,Y,unknown,,,분과진료|영상(CT/MRI)|응급|내과|외과,https://search.naver.com/search.naver?query=%EA%B1%B4%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90%20%EB%B6%80%EC%86%8D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=%EA%B1%B4%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90+%EB%B6%80%EC%86%8D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
