id,name,care_level,care_level_ko,sido,sigungu,address,phone,homepage,hours_24h,weekday_hours,weekend_hours,departments,has_homepage,place_search_url,daum_map_url
nat_f33ba7bc04ae,119동물병원,neighborhood,일반 동네병원,대구광역시,달성군,대구광역시 달성군 다사읍 달구벌대로 893,053-585-1195,http://119animal.modoo.at/,no,10:00–19:00,토 09:30–13:00 · 일 휴무,일반진료|예방접종,True,https://search.naver.com/search.naver?query=119%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C,https://map.kakao.com/?q=119%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C
nat_574c5fa559d8,21세기동물병원,neighborhood,일반 동네병원,서울특별시,영등포구,서울특별시 영등포구 가마산로 584 (신길동),02-749-6750,https://blog.naver.com/vetsj21,no,09:00–19:00,토 09:00–19:00 · 일 휴무,일반진료|예방접종,True,https://search.naver.com/search.naver?query=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_4318e47cef7a,21세기동물병원,neighborhood,일반 동네병원,부산광역시,북구,"부산광역시 북구 만덕대로102번길 34 (덕천동, 현송빌라)",051-365-0075,,no,09:00–20:00,토 09:00–18:00,일반진료|예방접종,False,https://search.naver.com/search.naver?query=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%B6%81%EA%B5%AC,https://map.kakao.com/?q=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C
nat_64dbf788d0ee,21세기동물병원,neighborhood,일반 동네병원,전북특별자치도,전주시,전북특별자치도 전주시 덕진구 시천로 26 (송천동1가),063-251-1015,https://blog.naver.com/dvm28,unknown,,,일반진료|예방접종,True,https://search.naver.com/search.naver?query=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EC%A0%84%EB%B6%81%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84,https://map.kakao.com/?q=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%A0%84%EB%B6%81%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84
nat_851f0e37bf22,21세기동물병원,neighborhood,일반 동네병원,경기도,화성시,경기도 화성시 동탄솔빛로 48 (반송동),0507-1302-3178,http://blog.naver.com/dvm28,no,09:00–19:00,토 09:00–18:00 · 일 휴무,일반진료|예방접종,True,https://search.naver.com/search.naver?query=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_e95eadd54f82,21세기동물병원,neighborhood,일반 동네병원,전라남도,목포시,전라남도 목포시 영산로 503-2 (상동),061-279-0006,,unknown,,,일반진료|예방접종,False,https://search.naver.com/search.naver?query=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84,https://map.kakao.com/?q=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84
nat_ebee30d9b74c,21세기동물병원,neighborhood,일반 동네병원,대구광역시,동구,대구광역시 동구 아양로 216 (효목동),053-959-0182,,no,10:00–19:00,토 10:00–14:00 · 일 휴무,일반진료|예방접종,False,https://search.naver.com/search.naver?query=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8F%99%EA%B5%AC,https://map.kakao.com/?q=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C
nat_5efb8eec2555,24시 SNC 동물메디컬센터,secondary,2차 의료센터,서울특별시,강남구,서울특별시 강남구 논현로 416 (역삼동),0507-1364-7583,http://www.sncamc.co.kr,yes,00:00–24:00,,내과|외과|영상|응급,True,https://search.naver.com/search.naver?query=24%EC%8B%9C+SNC+%EB%8F%99%EB%AC%BC%EB%A9%94%EB%94%94%EC%BB%AC%EC%84%BC%ED%84%B0+%EA%B0%95%EB%82%A8%EA%B5%AC,https://map.kakao.com/?q=24%EC%8B%9C+SNC+%EB%8F%99%EB%AC%BC%EB%A9%94%EB%94%94%EC%BB%AC%EC%84%BC%ED%84%B0+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_73d64bde5ac6,24시 TLC동물의료센터,secondary,2차 의료센터,경기도,부천시,경기도 부천시 원미구 길주로 281 (중동),032-323-2475,https://blog.naver.com/tlcamc,yes,00:00–24:00,,내과|외과|영상|응급,True,https://search.naver.com/search.naver?query=24%EC%8B%9C+TLC%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EB%B6%80%EC%B2%9C%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C+TLC%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_43294a7960ad,24시 UN동물의료센터,secondary,2차 의료센터,부산광역시,남구,부산광역시 남구 수영로 221 (대연동),051-624-2475,https://blog.naver.com/pcr39,yes,00:00–24:00,,내과|외과|영상|응급,True,https://search.naver.com/search.naver?query=24%EC%8B%9C+UN%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EB%82%A8%EA%B5%AC,https://map.kakao.com/?q=24%EC%8B%9C+UN%EB%8F%99%EB%AC%BC%EC%9D%98%EB%A3%8C%EC%84%BC%ED%84%B0+%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C
